Order Number,Order Date,Item Name,Quantity,Product Price,Total products,Order_Date_Only,Order ID,Price
16118,2019-08-03 20:25:00,Plain Papadum,2.0,0.8,6,2019-08-03,,
16118,2019-08-03 20:25:00,King Prawn Balti,1.0,12.95,6,2019-08-03,,
16118,2019-08-03 20:25:00,Garlic Naan,1.0,2.95,6,2019-08-03,,
16118,2019-08-03 20:25:00,Mushroom Rice,1.0,3.95,6,2019-08-03,,
16118,2019-08-03 20:25:00,Paneer Tikka Masala,1.0,8.95,6,2019-08-03,,
16118,2019-08-03 20:25:00,Mango Chutney,1.0,0.5,6,2019-08-03,,
16117,2019-08-03 20:17:00,Plain Naan,1.0,2.6,7,2019-08-03,,
16117,2019-08-03 20:17:00,Mushroom Rice,1.0,3.95,7,2019-08-03,,
16117,2019-08-03 20:17:00,Tandoori Chicken (1/4),1.0,4.95,7,2019-08-03,,
16117,2019-08-03 20:17:00,Vindaloo - Lamb,1.0,7.95,7,2019-08-03,,
16117,2019-08-03 20:17:00,Chapati,1.0,1.95,7,2019-08-03,,
16117,2019-08-03 20:17:00,Lamb Tikka,1.0,4.95,7,2019-08-03,,
16117,2019-08-03 20:17:00,Saag Paneer,1.0,5.95,7,2019-08-03,,
16116,2019-08-03 20:09:00,Aloo Chaat,1.0,4.95,5,2019-08-03,,
16116,2019-08-03 20:09:00,Chicken Pakora,1.0,5.95,5,2019-08-03,,
16116,2019-08-03 20:09:00,Chicken Chilli Garlic,1.0,9.95,5,2019-08-03,,
16116,2019-08-03 20:09:00,Lamb Biryani,1.0,9.95,5,2019-08-03,,
16116,2019-08-03 20:09:00,Keema Naan,1.0,2.95,5,2019-08-03,,
16115,2019-08-03 20:01:00,Chicken Pakora,1.0,5.95,7,2019-08-03,,
16115,2019-08-03 20:01:00,Plain Papadum,1.0,0.8,7,2019-08-03,,
16115,2019-08-03 20:01:00,Mango Chutney,1.0,0.5,7,2019-08-03,,
16115,2019-08-03 20:01:00,Red Sauce,1.0,0.5,7,2019-08-03,,
16115,2019-08-03 20:01:00,Korma - Prawn,1.0,9.95,7,2019-08-03,,
16115,2019-08-03 20:01:00,Peshwari Naan,1.0,2.95,7,2019-08-03,,
16115,2019-08-03 20:01:00,Pilau Rice,1.0,2.95,7,2019-08-03,,
16114,2019-08-03 19:44:00,Chicken Balti,1.0,9.95,2,2019-08-03,,
16114,2019-08-03 19:44:00,Special Fried Rice,2.0,3.95,2,2019-08-03,,
16113,2019-08-03 19:42:00,Chicken Tikka Masala,1.0,8.95,5,2019-08-03,,
16113,2019-08-03 19:42:00,Curry - Lamb,1.0,7.95,5,2019-08-03,,
16113,2019-08-03 19:42:00,Pilau Rice,1.0,2.95,5,2019-08-03,,
16113,2019-08-03 19:42:00,Peshwari Naan,1.0,2.95,5,2019-08-03,,
16113,2019-08-03 19:42:00,Plain Papadum,1.0,0.8,5,2019-08-03,,
16112,2019-08-03 19:41:00,Plain Papadum,2.0,0.8,4,2019-08-03,,
16112,2019-08-03 19:41:00,Vegetable Rice,1.0,3.95,4,2019-08-03,,
16112,2019-08-03 19:41:00,Saag - Prawn,1.0,9.95,4,2019-08-03,,
16112,2019-08-03 19:41:00,Tandoori Chicken Masala,1.0,8.95,4,2019-08-03,,
16111,2019-08-03 19:29:00,Pilau Rice,1.0,2.95,4,2019-08-03,,
16111,2019-08-03 19:29:00,Lamb Tikka Chilli Masala,1.0,8.95,4,2019-08-03,,
16111,2019-08-03 19:29:00,Peshwari Naan,1.0,2.95,4,2019-08-03,,
16111,2019-08-03 19:29:00,Saag Aloo,1.0,5.95,4,2019-08-03,,
16110,2019-08-03 19:28:00,Aloo Gobi,1.0,5.95,8,2019-08-03,,
16110,2019-08-03 19:28:00,Bhindi Bhajee,1.0,5.95,8,2019-08-03,,
